"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Alblasserdam";"Alblasserdam                       ";"Zuid-Holland             ";"West-Nederland           "
"Alde Leie";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Aldeboarn";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Aldtsjerk";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Alem";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Alkmaar";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Allingawier";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Almelo";"Almelo                             ";"Overijssel               ";"Oost-Nederland           "
"Almen";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Almere";"Almere                             ";"Flevoland                ";"Oost-Nederland           "
"Almkerk";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Alphen";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Alphen";"Alphen-Chaam                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Alphen aan den Rijn";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
"Alteveer";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Alteveer";"Stadskanaal                        ";"Groningen                ";"Noord-Nederland          "
"Alteveer";"De Wolden                          ";"Drenthe                  ";"Noord-Nederland          "
"Alteveer gem Hoogeveen";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Altforst";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Ambt Delden";"Hof van Twente                     ";"Overijssel               ";"Oost-Nederland           "
"Ameide";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Amen";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"America";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Amerongen";"Utrechtse Heuvelrug                ";"Utrecht                  ";"West-Nederland           "
"Amersfoort";"Amersfoort                         ";"Utrecht                  ";"West-Nederland           "
"Ammerstol";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Ammerzoden";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Amstelhoek";"De Ronde Venen                     ";"Utrecht                  ";"West-Nederland           "
"Amstelveen";"Amstelveen                         ";"Noord-Holland            ";"West-Nederland           "
"Amstenrade";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Amsterdam";"Amsterdam                          ";"Noord-Holland            ";"West-Nederland           "
"Amsterdam-Duivendrecht";"Ouder-Amstel                       ";"Noord-Holland            ";"West-Nederland           "
"Andel";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Den Andel";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Andelst";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Anderen";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Andijk";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Ane";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Anerveen";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Anevelde";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Angeren";"Lingewaard                         ";"Gelderland               ";"Oost-Nederland           "
"Angerlo";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Anjum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Ankeveen";"Wijdemeren                         ";"Noord-Holland            ";"West-Nederland           "
"Anloo";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Anna Paulowna";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Annen";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Annerveenschekanaal";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Ansen";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Ansen";"De Wolden                          ";"Drenthe                  ";"Noord-Nederland          "
"Ter Apel";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Apeldoorn";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Ter Apelkanaal";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Appelscha";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Appeltern";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Appingedam";"Appingedam                         ";"Groningen                ";"Noord-Nederland          "
"Arcen";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Arkel";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Arnemuiden";"Middelburg                         ";"Zeeland                  ";"West-Nederland           "
"Arnhem";"Arnhem                             ";"Gelderland               ";"Oost-Nederland           "
"Arriën";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Arum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Asch";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Asperen";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Assen";"Assen                              ";"Drenthe                  ";"Noord-Nederland          "
"Assendelft";"Zaanstad                           ";"Noord-Holland            ";"West-Nederland           "
"Asten";"Asten                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Augsbuurt";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Augustinusga";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Austerlitz";"Zeist                              ";"Utrecht                  ";"West-Nederland           "
"Avenhorn";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Axel";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Azewijn";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Baaiduinen";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Baaium";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Baak";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Baambrugge";"De Ronde Venen                     ";"Utrecht                  ";"West-Nederland           "
"Baard";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Baarland";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Baarle-Nassau";"Baarle-Nassau                      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Baarlo";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Baarlo";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Baarn";"Baarn                              ";"Utrecht                  ";"West-Nederland           "
"Baars";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Babberich";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Babyloniënbroek";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bad Nieuweschans";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Badhoevedorp";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Baexem";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Baflo";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Bakel";"Gemert-Bakel                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bakhuizen";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Bakkeveen";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Balgoij";"Wijchen                            ";"Gelderland               ";"Oost-Nederland           "
"Balinge";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Balk";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Balkbrug";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Balloërveld";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Balloo";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Ballum";"Ameland                            ";"Friesland                ";"Noord-Nederland          "
"Baneheide";"Simpelveld                         ";"Limburg                  ";"Zuid-Nederland           "
"Banholt";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Bant";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Bantega";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Barchem";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Barendrecht";"Barendrecht                        ";"Zuid-Holland             ";"West-Nederland           "
"Barger-Compascuum";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Barneveld";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Barsingerhorn";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Basse";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Batenburg";"Wijchen                            ";"Gelderland               ";"Oost-Nederland           "
"Bathmen";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Bavel";"Breda                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bavel AC";"Alphen-Chaam                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bears";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Bedum";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Beegden";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Beek";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Beek";"Beek                               ";"Limburg                  ";"Zuid-Nederland           "
"Beek";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Beek en Donk";"Laarbeek                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Beekbergen";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Beemte Broekland";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Beers NB";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Beerta";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Beerze";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Beerzerveld";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Beesd";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Beesel";"Beesel                             ";"Limburg                  ";"Zuid-Nederland           "
"Beets";"Edam-Volendam                      ";"Noord-Holland            ";"West-Nederland           "
"Beetsterzwaag";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Beilen";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Beinsdorp";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Belfeld";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Bellingwolde";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Beltrum";"Berkelland                         ";"Gelderland               ";"Oost-Nederland           "
"Belt-Schutsloot";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Bemelen";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Bemmel";"Lingewaard                         ";"Gelderland               ";"Oost-Nederland           "
"Beneden-Leeuwen";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Bennebroek";"Bloemendaal                        ";"Noord-Holland            ";"West-Nederland           "
"Bennekom";"Ede                                ";"Gelderland               ";"Oost-Nederland           "
"Benneveld";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Benningbroek";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Benschop";"Lopik                              ";"Utrecht                  ";"West-Nederland           "
"Bentelo";"Hof van Twente                     ";"Overijssel               ";"Oost-Nederland           "
"Benthuizen";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
"Bentveld";"Zandvoort                          ";"Noord-Holland            ";"West-Nederland           "
"Berg en Dal";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Berg en Terblijt";"Valkenburg aan de Geul             ";"Limburg                  ";"Zuid-Nederland           "
"Bergambacht";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Bergeijk";"Bergeijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bergen (NH)";"Bergen (NH.)                       ";"Noord-Holland            ";"West-Nederland           "
"Bergen aan Zee";"Bergen (NH.)                       ";"Noord-Holland            ";"West-Nederland           "
"Bergen L";"Bergen (L.)                        ";"Limburg                  ";"Zuid-Nederland           "
"Bergen op Zoom";"Bergen op Zoom                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bergentheim";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Bergharen";"Wijchen                            ";"Gelderland               ";"Oost-Nederland           "
"Berghem";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bergschenhoek";"Lansingerland                      ";"Zuid-Holland             ";"West-Nederland           "
"Beringe";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Berkel en Rodenrijs";"Lansingerland                      ";"Zuid-Holland             ";"West-Nederland           "
"Berkel-Enschot";"Tilburg                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Berkenwoude";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Berkhout";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Berlicum";"Sint-Michielsgestel                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Berltsum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Bern";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Best";"Best                               ";"Noord-Brabant            ";"Zuid-Nederland           "
"Beugen";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Beuningen";"Losser                             ";"Overijssel               ";"Oost-Nederland           "
"Beuningen Gld";"Beuningen                          ";"Gelderland               ";"Oost-Nederland           "
"Beusichem";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Beutenaken";"Gulpen-Wittem                      ";"Limburg                  ";"Zuid-Nederland           "
"Beverwijk";"Beverwijk                          ";"Noord-Holland            ";"West-Nederland           "
"Biddinghuizen";"Dronten                            ";"Flevoland                ";"Oost-Nederland           "
"Bierum";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Biervliet";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Biervliet";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Biest-Houtakker";"Hilvarenbeek                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Biezenmortel";"Haaren                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Biggekerke";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"De Bilt";"De Bilt                            ";"Utrecht                  ";"West-Nederland           "
"Bilthoven";"De Bilt                            ";"Utrecht                  ";"West-Nederland           "
"Bingelrade";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Bitgum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Bitgummole";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Bladel";"Bladel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Blankenham";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Blaricum";"Blaricum                           ";"Noord-Holland            ";"West-Nederland           "
"Blauwestad";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Blauwhuis";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Bleiswijk";"Lansingerland                      ";"Zuid-Holland             ";"West-Nederland           "
"Blesdijke";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Bleskensgraaf ca";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"De Blesse";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Blessum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Blije";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Blijham";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Blitterswijck";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Bloemendaal";"Bloemendaal                        ";"Noord-Holland            ";"West-Nederland           "
"Blokker";"Hoorn                              ";"Noord-Holland            ";"West-Nederland           "
"Blokzijl";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Boazum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Bocholtz";"Simpelveld                         ";"Limburg                  ";"Zuid-Nederland           "
"Bodegraven";"Bodegraven-Reeuwijk                ";"Zuid-Holland             ";"West-Nederland           "
"Boekel";"Boekel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Boelenslaan";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Boer";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Ten Boer";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Boerakker";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Boesingheliede";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Boijl";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Boksum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Bolsward";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Den Bommel";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Bontebok";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Boornbergum";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Boornzwaag";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Borculo";"Berkelland                         ";"Gelderland               ";"Oost-Nederland           "
"Borger";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Borgercompagnie";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Borgercompagnie";"Veendam                            ";"Groningen                ";"Noord-Nederland          "
"Borgsweer";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Born";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Borne";"Borne                              ";"Overijssel               ";"Oost-Nederland           "
"Bornerbroek";"Almelo                             ";"Overijssel               ";"Oost-Nederland           "
"Bornwird";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Borssele";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Bosch en Duin";"Zeist                              ";"Utrecht                  ";"West-Nederland           "
"Boschoord";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Boskoop";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
"Bosschenhoofd";"Halderberge                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Botlek Rotterdam";"Rotterdam                          ";"Zuid-Holland             ";"West-Nederland           "
"Bourtange";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Bovenkarspel";"Stede Broec                        ";"Noord-Holland            ";"West-Nederland           "
"Boven-Leeuwen";"West Maas en Waal                  ";"Gelderland               ";"Oost-Nederland           "
"Bovensmilde";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Boxmeer";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Boxtel";"Boxtel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Braamt";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Brakel";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Brandwijk";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Brantgum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Breda";"Breda                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Bredevoort";"Aalten                             ";"Gelderland               ";"Oost-Nederland           "
"Breedenbroek";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Breezand";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Breezanddijk";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Breskens";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Breukelen";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Breukeleveen";"Wijdemeren                         ";"Noord-Holland            ";"West-Nederland           "
"Brielle";"Brielle                            ";"Zuid-Holland             ";"West-Nederland           "
"Briltil";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Britsum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Britswert";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Broek";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Broek in Waterland";"Waterland                          ";"Noord-Holland            ";"West-Nederland           "
"Broek op Langedijk";"Langedijk                          ";"Noord-Holland            ";"West-Nederland           "
"Broekhuizen";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Broekhuizen";"Meppel                             ";"Drenthe                  ";"Noord-Nederland          "
"Broekhuizenvorst";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Broekland";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Broeksterwâld";"Dantumadiel                        ";"Friesland                ";"Noord-Nederland          "
"Bronkhorst";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Bronneger";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Bronnegerveen";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Brouwershaven";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Bruchem";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Brucht";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Bruchterveld";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Bruinehaar";"Twenterand                         ";"Overijssel               ";"Oost-Nederland           "
"Bruinisse";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Brummen";"Brummen                            ";"Gelderland               ";"Oost-Nederland           "
"Brunssum";"Brunssum                           ";"Limburg                  ";"Zuid-Nederland           "
"Bruntinge";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Buchten";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Budel";"Cranendonck                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Budel-Dorplein";"Cranendonck                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Budel-Schoot";"Cranendonck                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Buggenum";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Buinen";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Buinerveen";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Buitenkaag";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Buitenpost";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"De Bult";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Bunde";"Meerssen                           ";"Limburg                  ";"Zuid-Nederland           "
"Bunne";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Bunnik";"Bunnik                             ";"Utrecht                  ";"West-Nederland           "
"Bunschoten-Spakenburg";"Bunschoten                         ";"Utrecht                  ";"West-Nederland           "
"Burdaard";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Buren";"Ameland                            ";"Friesland                ";"Noord-Nederland          "
"Buren";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Den Burg";"Texel                              ";"Noord-Holland            ";"West-Nederland           "
"Burgerbrug";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Burgerveen";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Burgh-Haamstede";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Burgum";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Burgwerd";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Burum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Bussum";"Gooise Meren                       ";"Noord-Holland            ";"West-Nederland           "
"Buurmalsen";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Buurmalsen";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Cadier en Keer";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Cadzand";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Callantsoog";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
