,Woonplaatsen,Gemeente,Provincie,Landsdeel
47,Boesingheliede,Haarlemmermeer,Noord-Holland,West-Nederland
48,Boijl,Weststellingwerf,Friesland,Noord-Nederland
49,Boksum,Waadhoeke,Friesland,Noord-Nederland
50,Bolsward,Súdwest-Fryslân,Friesland,Noord-Nederland
51,Den Bommel,Goeree-Overflakkee,Zuid-Holland,West-Nederland
52,Bontebok,Heerenveen,Friesland,Noord-Nederland
53,Boornbergum,Smallingerland,Friesland,Noord-Nederland
54,Boornzwaag,DeFryskeMarren,Friesland,Noord-Nederland
55,Borculo,Berkelland,Gelderland,Oost-Nederland
56,Borger,Borger-Odoorn,Drenthe,Noord-Nederland
57,Borgercompagnie,Midden-Groningen,Groningen,Noord-Nederland
58,Borgercompagnie,Veendam,Groningen,Noord-Nederland
59,Borgsweer,Delfzijl,Groningen,Noord-Nederland
60,Born,Sittard-Geleen,Limburg,Zuid-Nederland
61,Borne,Borne,Overijssel,Oost-Nederland
62,Bornerbroek,Almelo,Overijssel,Oost-Nederland
63,Bornwird,Noardeast-Fryslân,Friesland,Noord-Nederland
64,Borssele,Borsele,Zeeland,West-Nederland
65,Bosch en Duin,Zeist,Utrecht,West-Nederland
66,Boschoord,Westerveld,Drenthe,Noord-Nederland
67,Boskoop,AlphenaandenRijn,Zuid-Holland,West-Nederland
68,Bosschenhoofd,Halderberge,Noord-Brabant,Zuid-Nederland
69,Botlek Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
70,Bourtange,Westerwolde,Groningen,Noord-Nederland
71,Bovenkarspel,StedeBroec,Noord-Holland,West-Nederland
72,Boven-Leeuwen,WestMaasenWaal,Gelderland,Oost-Nederland
73,Bovensmilde,Midden-Drenthe,Drenthe,Noord-Nederland
74,Boxmeer,Boxmeer,Noord-Brabant,Zuid-Nederland
75,Boxtel,Boxtel,Noord-Brabant,Zuid-Nederland
76,Braamt,Montferland,Gelderland,Oost-Nederland
77,Brakel,Zaltbommel,Gelderland,Oost-Nederland
78,Brandwijk,Molenlanden,Zuid-Holland,West-Nederland
79,Brantgum,Noardeast-Fryslân,Friesland,Noord-Nederland
80,Breda,Breda,Noord-Brabant,Zuid-Nederland
81,Bredevoort,Aalten,Gelderland,Oost-Nederland
82,Breedenbroek,OudeIJsselstreek,Gelderland,Oost-Nederland
83,Breezand,HollandsKroon,Noord-Holland,West-Nederland
84,Breezanddijk,Súdwest-Fryslân,Friesland,Noord-Nederland
85,Breskens,Sluis,Zeeland,West-Nederland
86,Breukelen,StichtseVecht,Utrecht,West-Nederland
87,Breukeleveen,Wijdemeren,Noord-Holland,West-Nederland
88,Brielle,Brielle,Zuid-Holland,West-Nederland
89,Briltil,Westerkwartier,Groningen,Noord-Nederland
90,Britsum,Leeuwarden,Friesland,Noord-Nederland
91,Britswert,Súdwest-Fryslân,Friesland,Noord-Nederland
92,Broek,DeFryskeMarren,Friesland,Noord-Nederland
93,Broek in Waterland,Waterland,Noord-Holland,West-Nederland
94,Broek op Langedijk,Langedijk,Noord-Holland,West-Nederland
95,Broekhuizen,HorstaandeMaas,Limburg,Zuid-Nederland
96,Broekhuizen,Meppel,Drenthe,Noord-Nederland
97,Broekhuizenvorst,HorstaandeMaas,Limburg,Zuid-Nederland
98,Broekland,Raalte,Overijssel,Oost-Nederland
99,Broeksterwâld,Dantumadiel,Friesland,Noord-Nederland
100,Bron: CBS,,,
101,Ruigahuizen,DeFryskeMarren,Friesland,Noord-Nederland
102,Ruinen,Westerveld,Drenthe,Noord-Nederland
103,Ruinen,DeWolden,Drenthe,Noord-Nederland
104,Ruinerwold,DeWolden,Drenthe,Noord-Nederland
105,Rumpt,WestBetuwe,Gelderland,Oost-Nederland
106,Rutten,Noordoostpolder,Flevoland,Oost-Nederland
107,Ruurlo,Berkelland,Gelderland,Oost-Nederland
108,Ryptsjerk,Tytsjerksteradiel,Friesland,Noord-Nederland
109,Saaksum,Westerkwartier,Groningen,Noord-Nederland
110,Saasveld,Dinkelland,Overijssel,Oost-Nederland
111,Saaxumhuizen,HetHogeland,Groningen,Noord-Nederland
112,Sambeek,Boxmeer,Noord-Brabant,Zuid-Nederland
113,Sandfirden,Súdwest-Fryslân,Friesland,Noord-Nederland
114,Santpoort-Noord,Velsen,Noord-Holland,West-Nederland
115,Santpoort-Zuid,Velsen,Noord-Holland,West-Nederland
116,Sappemeer,Midden-Groningen,Groningen,Noord-Nederland
117,Sas van Gent,Terneuzen,Zeeland,West-Nederland
118,Sassenheim,Teylingen,Zuid-Holland,West-Nederland
119,Sauwerd,HetHogeland,Groningen,Noord-Nederland
120,Schagen,Schagen,Noord-Holland,West-Nederland
121,Schagerbrug,Schagen,Noord-Holland,West-Nederland
122,Schaijk,Landerd,Noord-Brabant,Zuid-Nederland
123,Schalkhaar,Deventer,Overijssel,Oost-Nederland
124,Schalkwijk,Houten,Utrecht,West-Nederland
125,Schalsum,Waadhoeke,Friesland,Noord-Nederland
126,Schardam,Edam-Volendam,Noord-Holland,West-Nederland
127,Scharendijke,Schouwen-Duiveland,Zeeland,West-Nederland
128,Scharmer,Midden-Groningen,Groningen,Noord-Nederland
129,Scharnegoutum,Súdwest-Fryslân,Friesland,Noord-Nederland
130,Scharsterbrug,DeFryskeMarren,Friesland,Noord-Nederland
131,Scharwoude,Koggenland,Noord-Holland,West-Nederland
132,Scheemda,Oldambt,Groningen,Noord-Nederland
133,Scheerwolde,Steenwijkerland,Overijssel,Oost-Nederland
134,Schellinkhout,Drechterland,Noord-Holland,West-Nederland
135,Schelluinen,Molenlanden,Zuid-Holland,West-Nederland
136,Schermerhorn,Alkmaar,Noord-Holland,West-Nederland
137,Scherpenisse,Tholen,Zeeland,West-Nederland
138,Scherpenzeel,Weststellingwerf,Friesland,Noord-Nederland
139,Scherpenzeel,Scherpenzeel,Gelderland,Oost-Nederland
140,Schettens,Súdwest-Fryslân,Friesland,Noord-Nederland
141,Scheulder,Eijsden-Margraten,Limburg,Zuid-Nederland
142,Schiedam,Schiedam,Zuid-Holland,West-Nederland
143,Schiermonnikoog,Schiermonnikoog,Friesland,Noord-Nederland
144,Schijf,Rucphen,Noord-Brabant,Zuid-Nederland
145,Schijndel,Meierijstad,Noord-Brabant,Zuid-Nederland
146,Schildwolde,Midden-Groningen,Groningen,Noord-Nederland
147,Schimmert,Beekdaelen,Limburg,Zuid-Nederland
148,Schin op Geul,ValkenburgaandeGeul,Limburg,Zuid-Nederland
149,Schinnen,Beekdaelen,Limburg,Zuid-Nederland
150,Schinveld,Beekdaelen,Limburg,Zuid-Nederland
151,Schipborg,AaenHunze,Drenthe,Noord-Nederland
152,Schiphol,Haarlemmermeer,Noord-Holland,West-Nederland
153,Schiphol-Rijk,Haarlemmermeer,Noord-Holland,West-Nederland
154,De Schiphorst,Meppel,Drenthe,Noord-Nederland
155,Schipluiden,Midden-Delfland,Zuid-Holland,West-Nederland
156,Schokland,Noordoostpolder,Flevoland,Oost-Nederland
157,Schoondijke,Sluis,Zeeland,West-Nederland
158,Schoonebeek,Emmen,Drenthe,Noord-Nederland
159,Schoonhoven,Krimpenerwaard,Zuid-Holland,West-Nederland
160,Schoonloo,AaenHunze,Drenthe,Noord-Nederland
161,Schoonoord,Coevorden,Drenthe,Noord-Nederland
162,Schoonrewoerd,Vijfheerenlanden,Utrecht,West-Nederland
163,Schoorl,Bergen(NH.),Noord-Holland,West-Nederland
164,Schore,Kapelle,Zeeland,West-Nederland
165,Schouwerzijl,HetHogeland,Groningen,Noord-Nederland
166,Schraard,Súdwest-Fryslân,Friesland,Noord-Nederland
167,Schuinesloot,Hardenberg,Overijssel,Oost-Nederland
168,Sebaldeburen,Westerkwartier,Groningen,Noord-Nederland
169,Sellingen,Westerwolde,Groningen,Noord-Nederland
170,Serooskerke,Schouwen-Duiveland,Zeeland,West-Nederland
171,Serooskerke,Veere,Zeeland,West-Nederland
172,Sevenum,HorstaandeMaas,Limburg,Zuid-Nederland
173,Sexbierum,Waadhoeke,Friesland,Noord-Nederland
174,Sibculo,Twenterand,Overijssel,Oost-Nederland
175,Sibculo,Hardenberg,Overijssel,Oost-Nederland
176,Sibrandabuorren,Súdwest-Fryslân,Friesland,Noord-Nederland
177,Sibrandahûs,Dantumadiel,Friesland,Noord-Nederland
178,Siddeburen,Midden-Groningen,Groningen,Noord-Nederland
179,Siebengewald,Bergen(L.),Limburg,Zuid-Nederland
180,Siegerswoude,Opsterland,Friesland,Noord-Nederland
181,Sijbekarspel,Medemblik,Noord-Holland,West-Nederland
182,Silvolde,OudeIJsselstreek,Gelderland,Oost-Nederland
183,Simonshaven,Nissewaard,Zuid-Holland,West-Nederland
184,Simpelveld,Simpelveld,Limburg,Zuid-Nederland
185,Sinderen,OudeIJsselstreek,Gelderland,Oost-Nederland
186,Sint Agatha,Cuijk,Noord-Brabant,Zuid-Nederland
187,Sint Annen,Groningen,Groningen,Noord-Nederland
188,Sint Anthonis,SintAnthonis,Noord-Brabant,Zuid-Nederland
189,Sint Geertruid,Eijsden-Margraten,Limburg,Zuid-Nederland
190,Sint Hubert,MillenSintHubert,Noord-Brabant,Zuid-Nederland
191,Sint Jansklooster,Steenwijkerland,Overijssel,Oost-Nederland
192,Sint Jansteen,Hulst,Zeeland,West-Nederland
193,Sint Joost,Echt-Susteren,Limburg,Zuid-Nederland
194,Sint Kruis,Sluis,Zeeland,West-Nederland
195,Sint Maarten,Schagen,Noord-Holland,West-Nederland
196,Sint Maartensbrug,Schagen,Noord-Holland,West-Nederland
197,Sint Maartensvlotbrug,Schagen,Noord-Holland,West-Nederland
198,Sint Nicolaasga,DeFryskeMarren,Friesland,Noord-Nederland
199,Sint Odiliënberg,Roerdalen,Limburg,Zuid-Nederland
200,Sint Pancras,Langedijk,Noord-Holland,West-Nederland
201,Bron: CBS,,,
202,Jubbega,Heerenveen,Friesland,Noord-Nederland
203,Julianadorp,DenHelder,Noord-Holland,West-Nederland
204,Jutrijp,Súdwest-Fryslân,Friesland,Noord-Nederland
205,Kaag,KaagenBraassem,Zuid-Holland,West-Nederland
206,Kaard,Terschelling,Friesland,Noord-Nederland
207,Kaatsheuvel,LoonopZand,Noord-Brabant,Zuid-Nederland
208,Kalenberg,Steenwijkerland,Overijssel,Oost-Nederland
209,Kallenkote,Steenwijkerland,Overijssel,Oost-Nederland
210,Kamerik,Woerden,Utrecht,West-Nederland
211,Kampen,Kampen,Overijssel,Oost-Nederland
212,Kamperland,Noord-Beveland,Zeeland,West-Nederland
213,Kamperveen,Kampen,Overijssel,Oost-Nederland
214,Kantens,HetHogeland,Groningen,Noord-Nederland
215,Kapel Avezaath,Tiel,Gelderland,Oost-Nederland
216,Kapel-Avezaath,Buren,Gelderland,Oost-Nederland
217,Kapelle,Kapelle,Zeeland,West-Nederland
218,Kapellebrug,Hulst,Zeeland,West-Nederland
219,Katlijk,Heerenveen,Friesland,Noord-Nederland
220,Kats,Noord-Beveland,Zeeland,West-Nederland
221,Kattendijke,Goes,Zeeland,West-Nederland
222,Katwijk,Katwijk,Zuid-Holland,West-Nederland
223,Katwijk NB,Cuijk,Noord-Brabant,Zuid-Nederland
224,Katwoude,Waterland,Noord-Holland,West-Nederland
225,Kedichem,Vijfheerenlanden,Utrecht,West-Nederland
226,Keent,Oss,Noord-Brabant,Zuid-Nederland
227,Keijenborg,Bronckhorst,Gelderland,Oost-Nederland
228,Kekerdom,BergenDal,Gelderland,Oost-Nederland
229,Kelpen-Oler,Leudal,Limburg,Zuid-Nederland
230,Kerk Avezaath,Tiel,Gelderland,Oost-Nederland
231,Kerk-Avezaath,Buren,Gelderland,Oost-Nederland
232,Kerkdriel,Maasdriel,Gelderland,Oost-Nederland
233,Kerkenveld,DeWolden,Drenthe,Noord-Nederland
234,Kerkrade,Kerkrade,Limburg,Zuid-Nederland
235,Kerkwerve,Schouwen-Duiveland,Zeeland,West-Nederland
236,Kerkwijk,Zaltbommel,Gelderland,Oost-Nederland
237,Kessel,PeelenMaas,Limburg,Zuid-Nederland
238,Kesteren,Neder-Betuwe,Gelderland,Oost-Nederland
239,De Kiel,Coevorden,Drenthe,Noord-Nederland
240,Kiel-Windeweer,Midden-Groningen,Groningen,Noord-Nederland
241,Kilder,Montferland,Gelderland,Oost-Nederland
242,Kimswerd,Súdwest-Fryslân,Friesland,Noord-Nederland
243,Kinderdijk,Molenlanden,Zuid-Holland,West-Nederland
244,Kinnum,Terschelling,Friesland,Noord-Nederland
245,Klaaswaal,HoekscheWaard,Zuid-Holland,West-Nederland
246,Klarenbeek,Voorst,Gelderland,Oost-Nederland
247,Klarenbeek,Apeldoorn,Gelderland,Oost-Nederland
248,Klazienaveen,Emmen,Drenthe,Noord-Nederland
249,Klazienaveen-Noord,Emmen,Drenthe,Noord-Nederland
250,Klein Zundert,Zundert,Noord-Brabant,Zuid-Nederland
251,Klijndijk,Borger-Odoorn,Drenthe,Noord-Nederland
252,Klimmen,Voerendaal,Limburg,Zuid-Nederland
253,Kloetinge,Kapelle,Zeeland,West-Nederland
254,Kloetinge,Goes,Zeeland,West-Nederland
255,De Klomp,Ede,Gelderland,Oost-Nederland
256,Klooster Lidlum,Waadhoeke,Friesland,Noord-Nederland
257,Kloosterburen,HetHogeland,Groningen,Noord-Nederland
258,Kloosterhaar,Hardenberg,Overijssel,Oost-Nederland
259,Kloosterhaar,Twenterand,Overijssel,Oost-Nederland
260,Kloosterzande,Hulst,Zeeland,West-Nederland
261,Klundert,Moerdijk,Noord-Brabant,Zuid-Nederland
262,Knegsel,Eersel,Noord-Brabant,Zuid-Nederland
263,De Knipe,Heerenveen,Friesland,Noord-Nederland
264,Koarnjum,Leeuwarden,Friesland,Noord-Nederland
265,Kockengen,StichtseVecht,Utrecht,West-Nederland
266,Koedijk,Langedijk,Noord-Holland,West-Nederland
267,Koedijk,Alkmaar,Noord-Holland,West-Nederland
268,Koekange,DeWolden,Drenthe,Noord-Nederland
269,Koewacht,Terneuzen,Zeeland,West-Nederland
270,Kolderwolde,DeFryskeMarren,Friesland,Noord-Nederland
271,Kolham,Midden-Groningen,Groningen,Noord-Nederland
272,Kolhorn,HollandsKroon,Noord-Holland,West-Nederland
273,Kollum,Noardeast-Fryslân,Friesland,Noord-Nederland
274,Kollumerpomp,Noardeast-Fryslân,Friesland,Noord-Nederland
275,Kollumerzwaag,Noardeast-Fryslân,Friesland,Noord-Nederland
276,Kommerzijl,Westerkwartier,Groningen,Noord-Nederland
277,Koningsbosch,Echt-Susteren,Limburg,Zuid-Nederland
278,Koningslust,PeelenMaas,Limburg,Zuid-Nederland
279,De Koog,Texel,Noord-Holland,West-Nederland
280,Koog aan de Zaan,Zaanstad,Noord-Holland,West-Nederland
281,Kootstertille,Achtkarspelen,Friesland,Noord-Nederland
282,Kootwijk,Barneveld,Gelderland,Oost-Nederland
283,Kootwijkerbroek,Barneveld,Gelderland,Oost-Nederland
284,Kornhorn,Westerkwartier,Groningen,Noord-Nederland
285,Kornwerderzand,Súdwest-Fryslân,Friesland,Noord-Nederland
286,Kortehemmen,Smallingerland,Friesland,Noord-Nederland
287,Kortenhoef,Wijdemeren,Noord-Holland,West-Nederland
288,Kortgene,Noord-Beveland,Zeeland,West-Nederland
289,Koudekerk aan den Rijn,AlphenaandenRijn,Zuid-Holland,West-Nederland
290,Koudekerke,Veere,Zeeland,West-Nederland
291,Koudum,Súdwest-Fryslân,Friesland,Noord-Nederland
292,Koufurderrige,Súdwest-Fryslân,Friesland,Noord-Nederland
293,Krabbendijke,Reimerswaal,Zeeland,West-Nederland
294,Kraggenburg,Noordoostpolder,Flevoland,Oost-Nederland
295,Kreileroord,HollandsKroon,Noord-Holland,West-Nederland
296,Krewerd,Delfzijl,Groningen,Noord-Nederland
297,De Krim,Hardenberg,Overijssel,Oost-Nederland
298,Krimpen aan de Lek,Krimpenerwaard,Zuid-Holland,West-Nederland
299,Krimpen aan den IJssel,KrimpenaandenIJssel,Zuid-Holland,West-Nederland
300,Kring van Dorth,Lochem,Gelderland,Oost-Nederland
301,Krommenie,Zaanstad,Noord-Holland,West-Nederland
302,Bron: CBS,,,
303,Aadorp,Almelo,Overijssel,Oost-Nederland
304,Aagtekerke,Veere,Zeeland,West-Nederland
305,Aalden,Coevorden,Drenthe,Noord-Nederland
306,Aalsmeer,Aalsmeer,Noord-Holland,West-Nederland
307,Aalsmeerderbrug,Haarlemmermeer,Noord-Holland,West-Nederland
308,Aalst,Zaltbommel,Gelderland,Oost-Nederland
309,Aalsum,Noardeast-Fryslân,Friesland,Noord-Nederland
310,Aalten,Aalten,Gelderland,Oost-Nederland
311,Ter Aar,Nieuwkoop,Zuid-Holland,West-Nederland
312,Ter Aard,Assen,Drenthe,Noord-Nederland
313,Aardenburg,Sluis,Zeeland,West-Nederland
314,Aarlanderveen,AlphenaandenRijn,Zuid-Holland,West-Nederland
315,Aarle-Rixtel,Laarbeek,Noord-Brabant,Zuid-Nederland
316,Aartswoud,Opmeer,Noord-Holland,West-Nederland
317,Abbega,Súdwest-Fryslân,Friesland,Noord-Nederland
318,Abbekerk,Medemblik,Noord-Holland,West-Nederland
319,Abbenbroek,Nissewaard,Zuid-Holland,West-Nederland
320,Abbenes,Haarlemmermeer,Noord-Holland,West-Nederland
321,Abcoude,DeRondeVenen,Utrecht,West-Nederland
322,Achlum,Waadhoeke,Friesland,Noord-Nederland
323,Achterveld,Barneveld,Gelderland,Oost-Nederland
324,Achterveld,Leusden,Utrecht,West-Nederland
325,Achthuizen,Goeree-Overflakkee,Zuid-Holland,West-Nederland
326,Achtmaal,Zundert,Noord-Brabant,Zuid-Nederland
327,Acquoy,WestBetuwe,Gelderland,Oost-Nederland
328,Adorp,HetHogeland,Groningen,Noord-Nederland
329,Aduard,Westerkwartier,Groningen,Noord-Nederland
330,Aerdenhout,Bloemendaal,Noord-Holland,West-Nederland
331,Aerdt,Zevenaar,Gelderland,Oost-Nederland
332,Afferden,Druten,Gelderland,Oost-Nederland
333,Afferden L,Bergen(L.),Limburg,Zuid-Nederland
334,Agelo,Dinkelland,Overijssel,Oost-Nederland
335,Akersloot,Castricum,Noord-Holland,West-Nederland
336,Akkrum,Heerenveen,Friesland,Noord-Nederland
337,Akmarijp,DeFryskeMarren,Friesland,Noord-Nederland
338,Albergen,Tubbergen,Overijssel,Oost-Nederland
339,Alblasserdam,Alblasserdam,Zuid-Holland,West-Nederland
340,Alde Leie,Leeuwarden,Friesland,Noord-Nederland
341,Aldeboarn,Heerenveen,Friesland,Noord-Nederland
342,Aldtsjerk,Tytsjerksteradiel,Friesland,Noord-Nederland
343,Alem,Maasdriel,Gelderland,Oost-Nederland
344,Alkmaar,Alkmaar,Noord-Holland,West-Nederland
345,Allingawier,Súdwest-Fryslân,Friesland,Noord-Nederland
346,Almelo,Almelo,Overijssel,Oost-Nederland
347,Almen,Lochem,Gelderland,Oost-Nederland
348,Almere,Almere,Flevoland,Oost-Nederland
349,Almkerk,Altena,Noord-Brabant,Zuid-Nederland
350,Alphen,WestMaasenWaal,Gelderland,Oost-Nederland
351,Alphen,Alphen-Chaam,Noord-Brabant,Zuid-Nederland
352,Alphen aan den Rijn,AlphenaandenRijn,Zuid-Holland,West-Nederland
353,Alteveer,Noordenveld,Drenthe,Noord-Nederland
354,Alteveer,Stadskanaal,Groningen,Noord-Nederland
355,Alteveer,DeWolden,Drenthe,Noord-Nederland
356,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,Noord-Nederland
357,Altforst,WestMaasenWaal,Gelderland,Oost-Nederland
358,Ambt Delden,HofvanTwente,Overijssel,Oost-Nederland
359,Ameide,Vijfheerenlanden,Utrecht,West-Nederland
360,Amen,AaenHunze,Drenthe,Noord-Nederland
361,America,HorstaandeMaas,Limburg,Zuid-Nederland
362,Amerongen,UtrechtseHeuvelrug,Utrecht,West-Nederland
363,Amersfoort,Amersfoort,Utrecht,West-Nederland
364,Ammerstol,Krimpenerwaard,Zuid-Holland,West-Nederland
365,Ammerzoden,Maasdriel,Gelderland,Oost-Nederland
366,Amstelhoek,DeRondeVenen,Utrecht,West-Nederland
367,Amstelveen,Amstelveen,Noord-Holland,West-Nederland
368,Amstenrade,Beekdaelen,Limburg,Zuid-Nederland
369,Amsterdam,Amsterdam,Noord-Holland,West-Nederland
370,Amsterdam-Duivendrecht,Ouder-Amstel,Noord-Holland,West-Nederland
371,Andel,Altena,Noord-Brabant,Zuid-Nederland
372,Den Andel,HetHogeland,Groningen,Noord-Nederland
373,Andelst,Overbetuwe,Gelderland,Oost-Nederland
374,Anderen,AaenHunze,Drenthe,Noord-Nederland
375,Andijk,Medemblik,Noord-Holland,West-Nederland
376,Ane,Hardenberg,Overijssel,Oost-Nederland
377,Anerveen,Hardenberg,Overijssel,Oost-Nederland
378,Anevelde,Hardenberg,Overijssel,Oost-Nederland
379,Angeren,Lingewaard,Gelderland,Oost-Nederland
380,Angerlo,Zevenaar,Gelderland,Oost-Nederland
381,Anjum,Noardeast-Fryslân,Friesland,Noord-Nederland
382,Ankeveen,Wijdemeren,Noord-Holland,West-Nederland
383,Anloo,AaenHunze,Drenthe,Noord-Nederland
384,Anna Paulowna,HollandsKroon,Noord-Holland,West-Nederland
385,Annen,AaenHunze,Drenthe,Noord-Nederland
386,Annerveenschekanaal,AaenHunze,Drenthe,Noord-Nederland
387,Ansen,Westerveld,Drenthe,Noord-Nederland
388,Ansen,DeWolden,Drenthe,Noord-Nederland
389,Ter Apel,Westerwolde,Groningen,Noord-Nederland
390,Apeldoorn,Apeldoorn,Gelderland,Oost-Nederland
391,Ter Apelkanaal,Westerwolde,Groningen,Noord-Nederland
392,Appelscha,Ooststellingwerf,Friesland,Noord-Nederland
393,Appeltern,WestMaasenWaal,Gelderland,Oost-Nederland
394,Appingedam,Appingedam,Groningen,Noord-Nederland
395,Arcen,Venlo,Limburg,Zuid-Nederland
396,Arkel,Molenlanden,Zuid-Holland,West-Nederland
397,Arnemuiden,Middelburg,Zeeland,West-Nederland
398,Arnhem,Arnhem,Gelderland,Oost-Nederland
399,Arriën,Ommen,Overijssel,Oost-Nederland
400,Arum,Súdwest-Fryslân,Friesland,Noord-Nederland
401,Asch,Buren,Gelderland,Oost-Nederland
402,Asperen,WestBetuwe,Gelderland,Oost-Nederland
403,Bron: CBS,,,
404,Kronenberg,HorstaandeMaas,Limburg,Zuid-Nederland
405,Kropswolde,Midden-Groningen,Groningen,Noord-Nederland
406,Kruiningen,Reimerswaal,Zeeland,West-Nederland
407,Kruisland,Steenbergen,Noord-Brabant,Zuid-Nederland
408,Kûbaard,Súdwest-Fryslân,Friesland,Noord-Nederland
409,Kudelstaart,Aalsmeer,Noord-Holland,West-Nederland
410,Kuinre,Steenwijkerland,Overijssel,Oost-Nederland
411,Kuitaart,Hulst,Zeeland,West-Nederland
412,Kwadendamme,Borsele,Zeeland,West-Nederland
413,Kwadijk,Edam-Volendam,Noord-Holland,West-Nederland
414,De Kwakel,Uithoorn,Noord-Holland,West-Nederland
415,Kwintsheul,Westland,Zuid-Holland,West-Nederland
416,Laag Zuthem,Raalte,Overijssel,Oost-Nederland
417,Laag-Keppel,Bronckhorst,Gelderland,Oost-Nederland
418,Laag-Soeren,Rheden,Gelderland,Oost-Nederland
419,Lage Mierde,Reusel-DeMierden,Noord-Brabant,Zuid-Nederland
420,Lage Vuursche,Baarn,Utrecht,West-Nederland
421,Lage Zwaluwe,Drimmelen,Noord-Brabant,Zuid-Nederland
422,Lageland,Midden-Groningen,Groningen,Noord-Nederland
423,Lageland GN,Groningen,Groningen,Noord-Nederland
424,Lambertschaag,Medemblik,Noord-Holland,West-Nederland
425,Lamswaarde,Hulst,Zeeland,West-Nederland
426,Landerum,Terschelling,Friesland,Noord-Nederland
427,Landgraaf,Landgraaf,Limburg,Zuid-Nederland
428,Landhorst,SintAnthonis,Noord-Brabant,Zuid-Nederland
429,Landsmeer,Landsmeer,Noord-Holland,West-Nederland
430,Langbroek,WijkbijDuurstede,Utrecht,West-Nederland
431,Langedijke,Ooststellingwerf,Friesland,Noord-Nederland
432,Langelille,Weststellingwerf,Friesland,Noord-Nederland
433,Langelo,Noordenveld,Drenthe,Noord-Nederland
434,Langenboom,MillenSintHubert,Noord-Brabant,Zuid-Nederland
435,Langerak,Molenlanden,Zuid-Holland,West-Nederland
436,Langeveen,Tubbergen,Overijssel,Oost-Nederland
437,Langeweg,Moerdijk,Noord-Brabant,Zuid-Nederland
438,Langezwaag,Opsterland,Friesland,Noord-Nederland
439,Langweer,DeFryskeMarren,Friesland,Noord-Nederland
440,Laren,Lochem,Gelderland,Oost-Nederland
441,Laren,Laren,Noord-Holland,West-Nederland
442,Lathum,Zevenaar,Gelderland,Oost-Nederland
443,Lattrop-Breklenkamp,Dinkelland,Overijssel,Oost-Nederland
444,Lauwersoog,HetHogeland,Groningen,Noord-Nederland
