;Woonplaatsen;Provincie;Landsdeel;Gemeente;Lattitude;Longitude;Population;Coordinates;L1;l2;L3;Lat;L1.1;L1.2;L.1.3;Long;
323;Bunne;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;235;53° 4′ NB, 6° 35′ OL;;;;0;;;;0;
350;Coevorden;Drenthe;Noord-Nederland          ;Coevorden                          ;;;35303;52° 39′ NB, 6° 44′ OL;;;;0;;;;0;
364;Dalen;Drenthe;Noord-Nederland          ;Coevorden                          ;;;3965;52° 39′ NB, 6° 44′ OL;;;;0;;;;0;
365;Dalerpeel;Drenthe;Noord-Nederland          ;Coevorden                          ;;;605;52° 41′ NB, 6° 40′ OL;;;;0;;;;0;
366;Dalerveen;Drenthe;Noord-Nederland          ;Coevorden                          ;;;360;52° 42′ NB, 6° 48′ OL;;;;0;;;;0;
370;Darp;Drenthe;Noord-Nederland          ;Westerveld                         ;;;610;52° 47′ NB, 6° 12′ OL;;;;0;;;;0;
390;Deurze;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;90;52° 59′ NB, 6° 37′ OL;;;;0;;;;0;
399;Diever;Drenthe;Noord-Nederland          ;Westerveld                         ;;;2650;52° 51′ NB, 6° 19′ OL;;;;0;;;;0;
400;Dieverbrug;Drenthe;Noord-Nederland          ;Westerveld                         ;;;270;52° 51′ NB, 6° 20′ OL;;;;0;;;;0;
405;Diphoorn;Drenthe;Noord-Nederland          ;Coevorden                          ;;;70;52° 46′ NB, 6° 49′ OL;;;;0;;;;0;
416;Doldersum;Drenthe;Noord-Nederland          ;Westerveld                         ;;;115;52° 53′ NB, 6° 15′ OL;;;;0;;;;0;
418;Donderen;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;485;53° 6′ NB, 6° 33′ OL;;;;0;;;;0;
443;Drijber;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;490;52° 48′ NB, 6° 32′ OL;;;;0;;;;0;
446;Drogteropslagen;Drenthe;Noord-Nederland          ;De Wolden                          ;;;270;52° 37′ NB, 6° 30′ OL;;;;0;;;;0;
450;Drouwen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;545;52° 57′ NB, 6° 48′ OL;;;;0;;;;0;
451;Drouwenermond;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;570;52° 58′ NB, 6° 53′ OL;;;;0;;;;0;
452;Drouwenerveen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;275;52° 58′ NB, 6° 48′ OL;;;;0;;;;0;
460;Dwingeloo;Drenthe;Noord-Nederland          ;Westerveld                         ;;;4030;52° 50′ NB, 6° 22′ OL;;;;0;;;;0;
469;Echten;Drenthe;Noord-Nederland          ;De Wolden                          ;;;365;52° 43′ NB, 6° 24′ OL;;;;0;;;;0;
480;Eelde;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;6915;53° 8′ NB, 6° 34′ OL;;;;0;;;;0;
481;Eelderwolde;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;2695;53° 10′ NB, 6° 33′ OL;;;;0;;;;0;
485;Een;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;855;53° 5′ NB, 6° 24′ OL;;;;0;;;;0;
488;Een-West;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;220;53° 5′ NB, 6° 20′ OL;;;;0;;;;0;
491;Ees;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;340;"52°54'29""NB, 6°48'22""OL";;;;0;;;;0;
492;Eesergroen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;170;52° 53′ NB, 6° 47′ OL;;;;0;;;;0;
493;Eeserveen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;150;52° 52′ NB, 6° 46′ OL;;;;0;;;;0;
497;Eext;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;1420;53° 1′ NB, 6° 44′ OL;;;;0;;;;0;
498;Eexterveen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;465;53° 3′ NB, 6° 48′ OL;;;;0;;;;0;
499;Eexterveenschekanaal;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;235;53° 4′ NB, 6° 49′ OL;;;;0;;;;0;
500;Eexterzandvoort;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;140;53° 2′ NB, 6° 47′ OL;;;;0;;;;0;
509;Ekehaar;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;270;52° 57′ NB, 6° 36′ OL;;;;0;;;;0;
512;Eldersloo;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;150;52° 58′ NB, 6° 37′ OL;;;;0;;;;0;
513;Eleveld;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;35;52° 57′ NB, 6° 35′ OL;;;;0;;;;0;
514;Elim;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;2380;52° 41′ NB, 6° 35′ OL;;;;0;;;;0;
519;Ellertshaar;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;30;52° 54′ NB, 6° 44′ OL;;;;0;;;;0;
521;Elp;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;365;52° 53′ NB, 6° 39′ OL;;;;0;;;;0;
530;Emmen;Drenthe;Noord-Nederland          ;Emmen                              ;;;56545;52° 47′ NB, 6° 54′ OL;;;;0;;;;0;
531;Emmer-Compascuum;Drenthe;Noord-Nederland          ;Emmen                              ;;;7710;52° 48′ NB, 7° 3′ OL;;;;0;;;;0;
545;Erica;Drenthe;Noord-Nederland          ;Emmen                              ;;;4785;52° 42′ NB, 6° 55′ OL;;;;0;;;;0;
548;Erm;Drenthe;Noord-Nederland          ;Coevorden                          ;;;820;52° 45′ NB, 6° 49′ OL;;;;0;;;;0;
559;Eursinge;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;70;52° 50′ NB, 6° 36′ OL;;;;0;;;;0;
560;Eursinge;Drenthe;Noord-Nederland          ;De Wolden                          ;;;56;52° 47′ NB, 6° 27′ OL;;;;0;;;;0;
564;1e Exloërmond;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;360;52° 56′ NB, 6° 56′ OL;;;;0;;;;0;
565;2e Exloërmond;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;2335;52° 54′ NB, 6° 56′ OL;;;;0;;;;0;
566;Exloërveen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;100;52° 55′ NB, 6° 54′ OL;;;;0;;;;0;
567;Exloo;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;1655;52° 53′ NB, 6° 52′ OL;;;;0;;;;0;
583;Fluitenberg;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;740;52° 44′ NB, 6° 27′ OL;;;;0;;;;0;
590;Foxwolde;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;155;53° 9′ NB, 6° 27′ OL;;;;0;;;;0;
592;Frederiksoord;Drenthe;Noord-Nederland          ;Westerveld                         ;;;290;52° 51′ NB, 6° 11′ OL;;;;0;;;;0;
604;Garminge;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;100;52° 49′ NB, 6° 37′ OL;;;;0;;;;0;
610;Gasselte;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;1900;52° 58′ NB, 6° 48′ OL;;;;0;;;;0;
611;Gasselternijveen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;1835;52° 59′ NB, 6° 51′ OL;;;;0;;;;0;
612;Gasselternijveenschemond;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;660;52° 60′ NB, 6° 54′ OL;;;;0;;;;0;
614;Gasteren;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;410;53° 2′ NB, 6° 40′ OL;;;;0;;;;0;
616;Geelbroek;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;9;52° 57′ NB, 6° 34′ OL;;;;0;;;;0;
621;Gees;Drenthe;Noord-Nederland          ;Coevorden                          ;;;595;52° 45′ NB, 6° 41′ OL;;;;0;;;;0;
622;Geesbrug;Drenthe;Noord-Nederland          ;Coevorden                          ;;;1300;52° 44′ NB, 6° 38′ OL;;;;0;;;;0;
625;Geeuwenbrug;Drenthe;Noord-Nederland          ;Westerveld                         ;;;390;52° 52′ NB, 6° 22′ OL;;;;0;;;;0;
647;Gieten;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;5005;53° 0′ NB, 6° 46′ OL;;;;0;;;;0;
648;Gieterveen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;1005;53° 2′ NB, 6° 50′ OL;;;;0;;;;0;
699;De Groeve;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;460;53° 8′ NB, 6° 42′ OL;;;;0;;;;0;
700;Grolloo;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;625;52° 56′ NB, 6° 40′ OL;;;;0;;;;0;
715;'t Haantje;Drenthe;Noord-Nederland          ;Coevorden                          ;;;230;52° 49′ NB, 6° 49′ OL;;;;0;;;;0;
770;Havelte;Drenthe;Noord-Nederland          ;Westerveld                         ;;;3750;52° 46′ NB, 6° 14′ OL;;;;0;;;;0;
771;Havelterberg;Drenthe;Noord-Nederland          ;Westerveld                         ;;;205;52° 47′ NB, 6° 11′ OL;;;;0;;;;0;
871;Hijken;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;685;52° 54′ NB, 6° 30′ OL;;;;0;;;;0;
896;Hollandscheveld;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;5075;52° 42′ NB, 6° 32′ OL;;;;0;;;;0;
898;Holsloot;Drenthe;Noord-Nederland          ;Coevorden                          ;;;250;52° 44′ NB, 6° 48′ OL;;;;0;;;;0;
918;Hoogersmilde;Drenthe;Noord-Nederland          ;Westerveld                         ;;;nvt;;;;;0;;;;0;
919;Hoogersmilde;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;1245;52° 54′ NB, 6° 24′ OL;;;;0;;;;0;
920;Hoogeveen;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;40190;52° 43′ NB, 6° 28′ OL;;;;0;;;;0;
922;Hooghalen;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;1415;52° 55′ NB, 6° 32′ OL;;;;0;;;;0;
947;Huis ter Heide;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;135;53° 1′ NB, 6° 29′ OL;;;;0;;;;0;
1031;Kerkenveld;Drenthe;Noord-Nederland          ;De Wolden                          ;;;855;52° 40′ NB, 6° 30′ OL;;;;0;;;;0;
1037;De Kiel;Drenthe;Noord-Nederland          ;Coevorden                          ;;;380;52° 52′ NB, 6° 45′ OL;;;;0;;;;0;
1046;Klazienaveen;Drenthe;Noord-Nederland          ;Emmen                              ;;;12115;52° 44′ NB, 6° 59′ OL;;;;0;;;;0;
1047;Klazienaveen-Noord;Drenthe;Noord-Nederland          ;Emmen                              ;;;4893;52° 46′ NB, 7° 0′ OL;;;;0;;;;0;
1049;Klijndijk;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;700;52° 50′ NB, 6° 51′ OL;;;;0;;;;0;
1066;Koekange;Drenthe;Noord-Nederland          ;De Wolden                          ;;;2455;52° 42′ NB, 6° 19′ OL;;;;0;;;;0;
1129;Langelo;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;225;53° 6′ NB, 6° 27′ OL;;;;0;;;;0;
1175;Leutingewolde;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;140;53° 9′ NB, 6° 26′ OL;;;;0;;;;0;
1192;Lieveren;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;125;53° 7′ NB, 6° 27′ OL;;;;0;;;;0;
1196;Linde;Drenthe;Noord-Nederland          ;De Wolden                          ;;;850;52° 38′ NB, 6° 27′ OL;;;;0;;;;0;
1219;Loon;Drenthe;Noord-Nederland          ;Assen                              ;;;270;53° 1′ NB, 6° 37′ OL;;;;0;;;;0;
1268;Mantinge;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;370;52° 48′ NB, 6° 37′ OL;;;;0;;;;0;
1286;Marwijksoord;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;145;52° 58′ NB, 6° 40′ OL;;;;0;;;;0;
1289;Matsloot;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;160;53° 12′ NB, 6° 27′ OL;;;;0;;;;0;
1310;Meppel;Drenthe;Noord-Nederland          ;Meppel                             ;;;34125;52° 42′ NB, 6° 11′ OL;;;;0;;;;0;
1311;Meppen;Drenthe;Noord-Nederland          ;Coevorden                          ;;;395;52° 47′ NB, 6° 42′ OL;;;;0;;;;0;
1325;Midlaren;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;320;53° 7′ NB, 6° 41′ OL;;;;0;;;;0;
1398;Nietap;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;1210;53° 10′ NB, 6° 24′ OL;;;;0;;;;0;
1399;Nieuw Annerveen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;110;53° 4′ NB, 6° 47′ OL;;;;0;;;;0;
1406;Nieuw-Amsterdam;Drenthe;Noord-Nederland          ;Emmen                              ;;;4760;52° 43′ NB, 6° 52′ OL;;;;0;;;;0;
1407;Nieuw-Balinge;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;920;52° 46′ NB, 6° 36′ OL;;;;0;;;;0;
1409;Nieuw-Buinen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;4830;52° 58′ NB, 6° 58′ OL;;;;0;;;;0;
1410;Nieuw-Dordrecht;Drenthe;Noord-Nederland          ;Emmen                              ;;;2075;52° 45′ NB, 6° 58′ OL;;;;0;;;;0;
1416;Nieuwediep;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;280;53° 3′ NB, 6° 51′ OL;;;;0;;;;0;
1424;Nieuweroord;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;965;52° 44′ NB, 6° 34′ OL;;;;0;;;;0;
1425;Nieuweroord;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;nvt;;;;;0;;;;0;
1432;Nieuwlande;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;1365;52° 42′ NB, 6° 37′ OL;;;;0;;;;0;
1433;Nieuwlande Coevorden;Drenthe;Noord-Nederland          ;Coevorden                          ;;;nvt;;;;;0;;;;0;
1438;Nieuw-Roden;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;1275;53° 8′ NB, 6° 24′ OL;;;;0;;;;0;
1439;Nieuw-Schoonebeek;Drenthe;Noord-Nederland          ;Emmen                              ;;;1255;52° 38′ NB, 6° 59′ OL;;;;0;;;;0;
1445;Nieuw-Weerdinge;Drenthe;Noord-Nederland          ;Emmen                              ;;;3410;52° 51′ NB, 6° 59′ OL;;;;0;;;;0;
1459;Nijensleek;Drenthe;Noord-Nederland          ;Westerveld                         ;;;545;52° 50′ NB, 6° 10′ OL;;;;0;;;;0;
1461;Nijeveen;Drenthe;Noord-Nederland          ;Meppel                             ;;;3720;52° 44′ NB, 6° 10′ OL;;;;0;;;;0;
1466;Nijlande;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;65;52° 58′ NB, 6° 38′ OL;;;;0;;;;0;
1473;Nooitgedacht;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;545;52° 58′ NB, 6° 40′ OL;;;;0;;;;0;
1486;Noordscheschut;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;2080;52° 43′ NB, 6° 32′ OL;;;;0;;;;0;
1487;Noord-Sleen;Drenthe;Noord-Nederland          ;Coevorden                          ;;;560;52° 48′ NB, 6° 48′ OL;;;;0;;;;0;
1495;Norg;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;3710;53° 4′ NB, 6° 28′ OL;;;;0;;;;0;
1510;Odoorn;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;1920;52° 51′ NB, 6° 51′ OL;;;;0;;;;0;
1511;Odoornerveen;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;440;52° 50′ NB, 6° 47′ OL;;;;0;;;;0;
1558;Oosterhesselen;Drenthe;Noord-Nederland          ;Coevorden                          ;;;1840;52° 45′ NB, 6° 43′ OL;;;;0;;;;0;
1594;Oranje;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;360;52° 54′ NB, 6° 27′ OL;;;;0;;;;0;
1596;Orvelte;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;230;52° 51′ NB, 6° 40′ OL;;;;0;;;;0;
1608;Oud Annerveen;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;135;53° 5′ NB, 6° 46′ OL;;;;0;;;;0;
1619;Oude Willem;Drenthe;Noord-Nederland          ;Westerveld                         ;;;nvt;;;;;0;;;;0;
1629;Oudemolen;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;75;53° 3′ NB, 6° 38′ OL;;;;0;;;;0;
1668;Papenvoort;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;75;52° 57′ NB, 6° 42′ OL;;;;0;;;;0;
1670;Paterswolde;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;3730;53° 9′ NB, 6° 34′ OL;;;;0;;;;0;
1671;Peest;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;140;53° 9′ NB, 6° 34′ OL;;;;0;;;;0;
1673;Peize;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;5525;53° 9′ NB, 6° 30′ OL;;;;0;;;;0;
1677;Pesse;Drenthe;Noord-Nederland          ;Westerveld                         ;;;nvt;;;;;0;;;;0;
1678;Pesse;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;1600;52° 46′ NB, 6° 27′ OL;;;;0;;;;0;
1700;De Punt;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;230;53° 7′ NB, 6° 36′ OL;;;;0;;;;0;
1741;Rhee;Drenthe;Noord-Nederland          ;Assen                              ;;;40;53° 2′ NB, 6° 34′ OL;;;;0;;;;0;
1772;Roden;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;14650;53° 8′ NB, 6° 26′ OL;;;;0;;;;0;
1773;Roderesch;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;260;53° 7′ NB, 6° 25′ OL;;;;0;;;;0;
1774;Roderwolde;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;330;53° 10′ NB, 6° 28′ OL;;;;0;;;;0;
1777;Rogat;Drenthe;Noord-Nederland          ;Meppel                             ;;;125;52° 41′ NB, 6° 16′ OL;;;;0;;;;0;
1780;Rolde;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;3740;52° 59′ NB, 6° 39′ OL;;;;0;;;;0;
1787;Roswinkel;Drenthe;Noord-Nederland          ;Emmen                              ;;;810;52° 50′ NB, 7° 2′ OL;;;;0;;;;0;
1801;Ruinen;Drenthe;Noord-Nederland          ;Westerveld                         ;;;nvt;;;;;0;;;;0;
1802;Ruinen;Drenthe;Noord-Nederland          ;De Wolden                          ;;;3670;52° 46′ NB, 6° 21′ OL;;;;0;;;;0;
1803;Ruinerwold;Drenthe;Noord-Nederland          ;De Wolden                          ;;;3985;52° 43′ NB, 6° 15′ OL;;;;0;;;;0;
1850;Schipborg;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;590;53° 4′ NB, 6° 40′ OL;;;;0;;;;0;
1853;De Schiphorst;Drenthe;Noord-Nederland          ;Meppel                             ;;;75;52° 41′ NB, 6° 15′ OL;;;;0;;;;0;
1857;Schoonebeek;Drenthe;Noord-Nederland          ;Emmen                              ;;;4385;52° 40′ NB, 6° 53′ OL;;;;0;;;;0;
1859;Schoonloo;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;460;52° 54′ NB, 6° 42′ OL;;;;0;;;;0;
1860;Schoonoord;Drenthe;Noord-Nederland          ;Coevorden                          ;;;2155;52° 51′ NB, 6° 45′ OL;;;;0;;;;0;
1914;Sleen;Drenthe;Noord-Nederland          ;Coevorden                          ;;;2175;52° 46′ NB, 6° 48′ OL;;;;0;;;;0;
1928;Smilde;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;4940;52° 57′ NB, 6° 27′ OL;;;;0;;;;0;
1948;Spier;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;360;52° 49′ NB, 6° 28′ OL;;;;0;;;;0;
1949;Spier;Drenthe;Noord-Nederland          ;Westerveld                         ;;;nvt;;;;;0;;;;0;
1955;Spijkerboor;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;155;53° 5′ NB, 6° 46′ OL;;;;0;;;;0;
1973;Steenbergen;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;650;53° 6′ NB, 6° 25′ OL;;;;0;;;;0;
1988;Stieltjeskanaal;Drenthe;Noord-Nederland          ;Coevorden                          ;;;265;52° 41′ NB, 6° 50′ OL;;;;0;;;;0;
2004;Stuifzand;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;nvt;;;;;0;;;;0;
2005;Stuifzand;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;nvt;;;;;0;;;;0;
2016;Taarlo;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;105;53° 2′ NB, 6° 38′ OL;;;;0;;;;0;
2041;Tiendeveen;Drenthe;Noord-Nederland          ;Hoogeveen                          ;;;630;52° 45′ NB, 6° 33′ OL;;;;0;;;;0;
2042;Tiendeveen;Drenthe;Noord-Nederland          ;Midden-Drenthe                     ;;;nvt;;;;;0;;;;0;
2076;Tynaarlo;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;1805;53° 5′ NB, 6° 37′ OL;;;;0;;;;0;
2080;Ubbena;Drenthe;Noord-Nederland          ;Assen                              ;;;165;53° 3′ NB, 6° 34′ OL;;;;0;;;;0;
2085;Uffelte;Drenthe;Noord-Nederland          ;Westerveld                         ;;;1420;52° 47′ NB, 6° 17′ OL;;;;0;;;;0;
2113;Valthe;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;1200;52° 51′ NB, 6° 54′ OL;;;;0;;;;0;
2114;Valthermond;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;3305;52° 53′ NB, 6° 57′ OL;;;;0;;;;0;
2115;2e Valthermond;Drenthe;Noord-Nederland          ;Borger-Odoorn                      ;;;130;52° 54′ NB, 7° 2′ OL;;;;0;;;;0;
2125;Veenhuizen;Drenthe;Noord-Nederland          ;Noordenveld                        ;;;1250;53° 2′ NB, 6° 24′ OL;;;;0;;;;0;
2126;Veeningen;Drenthe;Noord-Nederland          ;De Wolden                          ;;;870;52° 40′ NB, 6° 22′ OL;;;;0;;;;0;
2128;Veenoord;Drenthe;Noord-Nederland          ;Emmen                              ;;;2180;52° 43′ NB, 6° 51′ OL;;;;0;;;;0;
2170;Vledder;Drenthe;Noord-Nederland          ;Westerveld                         ;;;1985;52° 51′ NB, 6° 13′ OL;;;;0;;;;0;
2171;Vledderveen;Drenthe;Noord-Nederland          ;Westerveld                         ;;;350;52° 53′ NB, 6° 11′ OL;;;;0;;;;0;
2198;Vredenheim;Drenthe;Noord-Nederland          ;Aa en Hunze                        ;;;33;52° 56′ NB, 6° 38′ OL;;;;0;;;;0;
2201;Vries;Drenthe;Noord-Nederland          ;Tynaarlo                           ;;;4095;53° 4′ NB, 6° 35′ OL;;;;0;;;;0;
2222;Wachtum;Drenthe;Noord-Nederland          ;Coevorden                          ;;;390;52° 43′ NB, 6° 45′ OL;;;;0;;;;0;
